Distance_(cm),Gray_Value
4.40187,58.667
4.41121,56.667
4.42056,58.667
4.42991,59.333
4.43925,58.333
4.44860,59.667
4.45794,59.667
4.46729,60.333
4.47664,60.667
4.48598,60.667
4.49533,59.667
4.50467,59.667
4.51402,59.667
4.52336,59.667
4.53271,59.000
4.54206,59.333
4.55140,59.667
4.56075,60.667
4.57009,61.667
4.57944,62.000
4.58879,62.667
4.59813,63.000
4.60748,62.333
4.61682,62.000
4.62617,62.000
4.63551,62.000
4.64486,61.000
4.65421,61.000
4.66355,61.000
4.67290,60.000
4.68224,60.333
4.69159,60.333
4.70093,60.333
4.71028,60.333
4.71963,60.333
4.72897,60.333
4.73832,60.333
4.74766,60.333
4.75701,60.667
4.76636,61.333
4.77570,62.667
4.78505,65.667
4.79439,70.000
4.80374,76.333
4.81308,82.333
4.82243,87.333
4.83178,91.667
4.84112,112.333
4.85047,148.667
4.85981,189.333
4.86916,206.000
4.87850,201.667
4.88785,196.333
4.89720,199.000
4.90654,202.000
4.91589,201.000
4.92523,201.333
4.93458,200.000
4.94393,201.000
4.95327,205.000
4.96262,194.000
4.97196,167.000
4.98131,143.333
4.99065,126.000
5.00000,107.667
5.00935,97.667
5.01869,92.333
5.02804,85.667
5.03738,78.000
5.04673,74.000
5.05607,73.333
5.06542,73.000
5.07477,72.667
5.08411,71.000
5.09346,70.000
5.10280,69.000
5.11215,68.000
5.12150,67.000
5.13084,64.667
5.14019,64.667
5.14953,64.667
5.15888,64.333
5.16822,63.667
5.17757,63.333
5.18692,63.000
5.19626,62.667
5.20561,64.333
5.21495,64.000
5.22430,62.667
5.23364,62.667
5.24299,63.000
5.25234,62.667
5.26168,62.667
5.27103,62.000
5.28037,62.667
5.28972,62.667
5.29907,62.333
5.30841,62.000
5.31776,61.667
5.32710,61.000
5.33645,60.667
5.34579,60.667
5.35514,61.333
5.36449,61.000
5.37383,60.667
5.38318,60.667
5.39252,60.000
5.40187,59.667
5.41121,59.667
5.42056,59.000
5.42991,56.333
5.43925,55.667
5.44860,56.333
5.45794,55.667
5.46729,54.667
5.47664,54.000
5.48598,53.333
5.49533,53.333
5.50467,53.667
5.51402,53.333
5.52336,52.667
5.53271,52.000
5.54206,51.000
5.55140,50.333
5.56075,49.667
5.57009,49.667
5.57944,49.000
5.58879,48.667
5.59813,47.667
5.60748,47.000
5.61682,47.000
5.62617,47.667
5.63551,48.667
5.64486,49.000
5.65421,49.000
5.66355,48.333
5.67290,47.667
5.68224,47.000
5.69159,47.000
5.70093,47.667
5.71028,49.333
5.71963,50.000
5.72897,49.667
5.73832,49.667
5.74766,48.667
5.75701,48.333
5.76636,48.000
5.77570,48.000
5.78505,48.000
5.79439,48.000
5.80374,51.667
5.81308,53.000
5.82243,53.667
5.83178,54.667
5.84112,55.333
5.85047,56.000
5.85981,56.667
5.86916,57.000
5.87850,57.667
5.88785,58.000
5.89720,58.667
5.90654,59.667
5.91589,62.333
5.92523,65.000
5.93458,67.667
5.94393,68.333
5.95327,73.333
5.96262,71.667
5.97196,70.667
5.98131,68.333
5.99065,66.667
6.00000,66.333
6.00935,65.333
6.01869,66.667
6.02804,64.333
6.03738,64.333
6.04673,64.333
6.05607,64.333
6.06542,63.333
6.07477,63.333
6.08411,63.333
6.09346,63.333
6.10280,64.000
6.11215,63.667
6.12150,63.333
6.13084,63.000
6.14019,62.667
6.14953,62.333
6.15888,62.000
6.16822,61.667
6.17757,61.000
6.18692,61.000
6.19626,60.667
6.20561,60.000
6.21495,60.000
6.22430,59.667
6.23364,59.000
6.24299,59.000
6.25234,59.000
6.26168,58.000
6.27103,56.667
6.28037,55.333
6.28972,54.667
6.29907,54.333
6.30841,53.667
6.31776,53.667
6.32710,56.000
6.33645,56.000
6.34579,56.000
6.35514,56.000
6.36449,55.000
6.37383,54.000
6.38318,52.000
6.39252,51.000
6.40187,50.000
6.41121,50.000
6.42056,50.000
6.42991,50.000
6.43925,50.000
6.44860,50.000
6.45794,50.000
6.46729,50.000
6.47664,48.667
6.48598,48.667
6.49533,48.000
6.50467,47.667
6.51402,47.333
6.52336,47.000
6.53271,47.667
6.54206,47.667
6.55140,49.000
6.56075,49.000
6.57009,48.000
6.57944,46.000
6.58879,45.000
6.59813,46.000
6.60748,49.000
6.61682,52.000
6.62617,48.667
6.63551,50.667
6.64486,51.667
6.65421,51.000
6.66355,51.000
6.67290,55.000
6.68224,61.667
6.69159,67.333
6.70093,71.333
6.71028,72.333
6.71963,73.667
6.72897,75.333
6.73832,75.000
6.74766,72.333
6.75701,68.667
6.76636,68.333
6.77570,126.333
6.78505,213.333
6.79439,247.000
6.80374,250.000
6.81308,250.667
6.82243,252.000
6.83178,254.333
6.84112,254.333
6.85047,254.000
6.85981,246.667
6.86916,238.333
6.87850,217.000
6.88785,161.000
6.89720,95.333
6.90654,66.000
6.91589,72.000
6.92523,74.667
6.93458,73.000
6.94393,72.000
6.95327,71.000
6.96262,71.000
6.97196,70.000
6.98131,71.000
6.99065,70.000
7.00000,62.000
7.00935,57.333
7.01869,54.000
7.02804,55.667
