indice_peak,lambda (nm),wave (cm-1),EW_nm_fixed,EW_nm_auto
214,539.91185,18521.541988752426,0.09465518847589088,0.038560979304102794
215,539.9780300000001,18519.271978528457,0.08208749793829216,0.038560979304102794
216,540.5323900000001,18500.27895645624,0.10655703314617244,0.06387345733898885
217,540.7278100000001,18493.592922472395,0.1122491498642328,0.06387345733898885
218,541.0637300000001,18482.11115537166,0.11738572021078458,0.04324316588241874
219,541.2414,18476.04414592084,0.09779862971212844,0.04324316588241874
220,541.67047,18461.408834046277,0.06739120756624291,0.02740803720496429
221,542.55759,18431.223126009536,0.06340853621188851,0.03112483118085429
222,543.4458,18401.099060844706,0.09783704283484088,0.03798984482386135
223,543.60344,18395.76291128695,0.08997435284320952,0.03798984482386135
224,544.65558,18360.22684280587,0.06397303439175932,0.050894968080099814
225,546.44776,18300.01096536657,0.05844468858157922,0.033640137801150834
226,546.47944,18298.950094078562,0.059771134849661824,0.033640137801150834
227,546.5798,18295.59014072602,0.06034532563128941,0.033640137801150834
228,546.7915200000001,18288.50601048092,0.06749797347897617,0.009028526095050072
229,546.8507,18286.526834472374,0.06456736940621606,0.004076025722466034
230,547.5421500000001,18263.434148403,0.08241425686227784,0.013703304169762679
231,547.8086000000001,18254.550950824792,0.09325476982160628,0.043017332145273014
232,548.46223,18232.79608515613,0.06373364669802117,0.009864898497298586
233,549.50251,18198.279021509836,0.050784797356938784,0.017703920395010616
234,549.9043399999999,18184.981045976107,0.0557829797438288,0.014900433568366556
235,550.2993700000001,18171.927036732748,0.057617313259106656,0.015589843246215934
236,550.8309,18154.39184693524,0.05456617520403891,0.020746791371349323
237,552.39805,18102.88794466237,0.036719573246511227,0.004454358907931571
238,552.70791,18092.739074423596,0.06635458334099295,0.006451124485758254
239,554.47292,18035.14588232731,0.042040384493491276,0.007936523351731353
240,554.54754,18032.719070397463,0.03853542930282691,0.0073390693251846675
241,556.17557,17979.93392626001,0.042364062785379096,0.005396919886342405
242,556.42512,17971.87014130491,0.06173812959262309,0.011674050975947283
243,556.72496,17962.190881472245,0.06900101441296892,0.013926473949826119
244,557.7637100000001,17928.7390353883,0.05829779160743079,0.014080889305131673
245,558.8307100000001,17894.506907109666,0.0980355458998995,0.06846274511352393
246,558.91254,17891.88698467921,0.09715760492484637,0.06846274511352393
247,561.72028,17802.45498702664,0.06954075046947324,0.05004890451891119
248,562.01925,17792.984848828575,0.07247372355864896,0.005402389396697384
249,562.55831,17775.935084844805,0.054803595660138586,0.03028142998544152
250,563.73869,17738.715077370332,0.045678939168796805,0.004680745520216322
251,563.82607,17735.965986815758,0.056315352703427225,0.002114977718231429
252,564.4317500000001,17716.933889704113,0.04770438167592769,0.0023729237360332663
253,565.1555400000001,17694.243959813255,0.03998456790883734,0.007455613286818582
254,565.30375,17689.60492478601,0.0475443721277155,0.0018447592196323855
255,565.38867,17686.94798924782,0.045416765124163934,0.0026615488188291006
256,565.67459,17678.008128312784,0.07151001908159904,0.024422443245770406
257,566.11454,17664.269848995576,0.08461669827437343,0.002202975668806304
258,566.29166,17658.744965447666,0.07213514160690662,0.0022849100619133436
259,566.40877,17655.093864454113,0.08082439377532466,0.017740821966902815
260,567.92603,17607.926863292392,0.03877666669519158,0.0006453101863078396
261,567.99544,17605.775144955387,0.04273613992085626,0.0004739971221147442
262,568.05988,17603.777967914226,0.044394210191409766,0.0062608649764909095
263,568.1816600000001,17600.004899841362,0.05317594780405759,0.0010738004466479144
264,568.8108100000001,17580.53789448903,0.07571184755522455,0.012320848224025056
265,569.30762,17565.19612367036,0.055153913794812416,0.004639599581775513
266,569.767,17551.034019169238,0.04013547296091096,0.0017235868385840733
267,569.96009,17545.088113099286,0.04926260933336518,0.010422437481472145
268,570.3126500000001,17534.241963596633,0.05585399185496063,0.008828786034203812
269,570.63164,17524.440109910487,0.08226350830720307,0.001988789334961912
270,570.70475,17522.195145563448,0.08087214178138773,0.004075439727215649
271,571.09623,17510.183879168664,0.09022216387649738,0.021293512383761006
272,571.15164,17508.485137152016,0.08886248547109055,0.021293512383761006
273,571.37163,17501.744005035744,0.07730384491002076,0.014271704877511707
274,571.6134500000001,17494.339924996515,0.0591019646139028,0.0006383436218042839
275,572.60428,17464.067855028956,0.0179835726547806,0.0005577415093626888
276,573.33522,17441.80306941548,0.02384050553398078,0.0060515166894815255
277,573.38861,17440.179008787774,0.02045842118841595,0.0016418256640300213
278,574.34411,17411.164885106944,0.020237098685364475,0.0041424428923235055
279,574.45529,17407.795130583618,0.024474368855040923,0.0027763852654117127
280,575.36274,17380.339922602565,0.05263285345012601,0.0061061354797918195
281,575.47184,17377.044895889256,0.04461263630381336,0.02674722112592363
282,575.59986,17373.18004212162,0.04240134774195775,0.02674722112592363
283,576.08595,17358.52089432141,0.047267001011444834,0.001071660808094048
284,576.1942200000001,17355.259134671636,0.03741257437997797,0.007374478098979885
285,576.28537,17352.51408516583,0.03723832608085368,0.007374478098979885
286,576.40117,17349.027934832262,0.035142517379275616,0.019120794170599427
287,577.0922899999999,17328.250911132433,0.01799131370997541,0.0011633084891919175
288,577.66821,17310.97510108787,0.025139881932416043,0.006242683123755938
289,578.22031,17294.446125560688,0.051762735269006904,0.011279229741775062
290,578.2407400000001,17293.835090208275,0.05536506498221197,0.011279229741775062
291,578.62625,17282.31306478059,0.061575004662159295,0.018462597087411714
292,579.31299,17261.825943174517,0.033291704310308055,0.011304470545042713
293,579.55214,17254.702915944716,0.0362614226988263,0.0037500157932037837
294,580.83349,17216.638110863754,0.027343153063028224,0.005595735406411926
295,580.9394100000001,17213.4990807389,0.028519389320019132,0.0008192629172439611
296,580.95858,17212.93108365832,0.028686026316232915,0.00032333453901241244
297,581.35259,17201.26507047986,0.025387831385604756,0.0010614506717544962
298,581.64197,17192.707053103473,0.019847803440317627,0.0022690436456657445
299,581.86893,17186.00097791783,0.01900342511870265,0.001658395128655523
300,582.94928,17154.151043809507,0.010040272576339965,0.0011563170872474348
