lambda
5166.8495
5196.3884
5196.9191
5197.5065
5200.1588
5216.6327
5217.7263
5218.842
5224.6397
5226.9809
5229.8323
5234.3971
5243.9504
5245.2366
5248.511
5251.6703
5252.1075
5254.924
5271.0039
5283.2601
5323.5213
5325.6601
5327.6244
5329.5208
5330.0139
5331.4717
5334.3831
5341.4147
5366.8911
5371.4552
5372.9834
5375.2029
5381.0699
5384.8661
5390.9777
5394.6671
5399.1185
5399.7803
5405.3239
5407.2781
5410.6373
5412.414
5416.7047
5425.5759
5434.458
5436.0344
5446.5558
5464.4776
5464.7944
5465.798
5467.9152
5468.507
5475.4215
5478.086
5484.6223
5495.0251
5499.0434
5502.9937
5508.309
5523.9805
5527.0791
5544.7292
5545.4754
5561.7557
5564.2512
5567.2496
5577.6371
5588.3071
5589.1254
5617.2028
5620.1925
5625.5831
5637.3869
5638.2607
5644.3175
5651.5554
5653.0375
5653.8867
5656.7459
5661.1454
5662.9166
5664.0877
5679.2603
5679.9544
5680.5988
5681.8166
5688.1081
5693.0762
5697.67
5699.6009
5703.1265
5706.3164
5707.0475
5710.9623
5711.5164
5713.7163
5716.1345
5726.0428
5733.3522
5733.8861
5743.4411
5744.5529
5753.6274
5754.7184
5755.9986
5760.8595
5761.9422
5762.8537
5764.0117
5770.9229
5776.6821
5782.2031
5782.4074
5786.2625
5793.1299
5795.5214
5808.3349
5809.3941
5809.5858
5813.5259
5816.4197
5818.6893
5829.4928
5836.7184
5839.3196
5839.9903
5846.5391
5846.9073
5851.3056
5852.8271
5853.8409
5854.7708
5856.6996
5857.7113
5859.8892
5860.4019
5861.2109
5862.7342
5863.9814
5874.8407
5882.9101
5904.1092
5907.3085
5908.4799
5917.8867
5929.4316
5931.3202
5931.8229
5936.2992
5954.3675
5958.3446
5964.8905
5971.2159
5977.8158
5978.4327
5985.3384
5986.4728
6004.6749
6007.2046
6009.6241
6010.2207
6016.9102
6019.9662
6021.0329
6025.7262
6028.72
6035.7064
6055.7504
6057.6815
6064.5271
6080.1739
6080.6922
6084.3946
6095.3313
6096.0607
6098.353
6099.9329
6101.9603
6106.8214
6121.9435
6129.6027
6138.3138
6138.6932
6139.3904
6153.3206
6159.4325
6167.0664
6175.0438
6181.9143
6189.7026
6202.0285
6215.1493
6216.8633
6221.0016
6234.3654
6242.3726
6248.0467
6254.285
6266.8669
6271.9593
6282.3553
6299.5348
6303.2439
6304.2365
6313.2457
6317.558
6338.5765
6340.6302
6345.9033
6366.1253
6366.4548
6382.5072
6387.4838
6394.3059
6395.3687
6401.7704
6409.7896
6413.4216
6421.4198
6421.7241
6423.1257
6432.6238
6438.1862
6483.6614
6496.7751
6498.2616
6500.735
6511.4154
6520.1681
6553.4879
6558.5993
6571.0301
6583.028
6593.1334
6594.7348
6595.6917
6609.851
6610.9356
6626.8517
6629.3751
6635.2444
6635.5816
6635.9392
6648.7673
6655.6901
6669.2601
6689.3386
6694.1201
6700.9914
6705.4182
6706.3319
6706.9535
6709.2849
6712.1721
6717.2372
6718.0914
6727.2138
6728.5238
6733.9233
6735.01
6739.847
6741.3823
6746.9632
6748.8173
6752.0157
6754.5711
6755.3281
6785.5762
6788.7335
6795.1341
6805.8786
6806.1492
6808.7234
6812.1422
6830.4756
6838.8928
6841.7179
6844.574
6845.5444
6857.0537
6859.1424
6860.0421
6918.5896
6947.121
6980.7765
7001.8146
7024.8907
7134.9526
7209.0979
7209.3744
7290.7468
7403.7236
7413.1957
7420.7108
7442.9616
7445.0723
7449.4449
7463.5755
7475.6121
7478.4348
7483.993
7493.7117
7497.1314
7500.5954
7508.0813
7509.3335
7513.0887
7533.2189
7543.9894
7549.975
7565.0931
7570.9838
7588.1072
7590.3944
7620.0869
7712.4865
7721.173
7725.3335
7739.7955
7747.6455
7748.7262
7753.2422
7782.6983
7804.6198
7810.0575
7812.9639
7822.9553
7834.3517
7846.7172
7857.56
7915.0437
7939.3239
7943.2736
7948.0326
7957.1226
7957.8805
8001.1458
8030.5224
8048.2606
8074.3845
8077.3715
8099.1019
8206.3584
8209.9993
8218.0634
8222.6388
8241.393
8250.3983
8266.5506
8271.9219
8278.1669
8295.7942
8334.2056
8363.0934
8367.9326
8403.7088
8426.4555
8441.8911
8470.7343
8474.0721
8516.4113
8529.0116
8574.1601
8601.1924
8612.9773
8614.1696
8616.3072
8618.6464
8623.969
8677.1291
8691.0119
8701.8433
8712.7838
8759.5926
8766.3732
8786.8528
8795.7586
8798.8992
8807.0437
8810.5898
8826.6442
8849.1699
8869.3676
8878.4612
8945.5192
8947.6459
8952.6461
8977.8647
9013.0681
9016.452
9022.2229
9039.2359
9086.6788
9106.1362
9212.5533
9786.674
9802.9961
9803.4871
9836.8809
9864.4409
9891.7477
9946.9321
9956.2017
9972.9673
9980.3766
9983.2003
9998.8031
10022.539
10035.609
10067.804
10073.28
10084.158
10089.006
10116.789
10139.88
10148.344
10151.86
10157.949
10159.29
10170.256
10197.902
10219.114
10221.211
10255.364
10261.41
10268.033
10286.596
10310.279
10335.161
10343.72
10348.019
10350.802
10356.644
10365.544
10366.902
10381.846
10391.591
10398.646
10425.887
10426.602
10535.122
10558.543
10580.039
10619.632
