Wave,Area
4866.26869572,0.0
4866.27811206,0.0
4866.28752841,0.0
4866.31012763,0.0
4866.3176607,0.0
4866.32707705,0.0
4866.33837666,0.0
4866.79601094,0.0973134839829604
4867.61711606,0.0
4867.62464914,0.0
4867.64159856,0.0
4867.6510149,0.0
4867.66043124,0.0
4867.66984759,0.0
4867.6811472,0.0
4867.69244681,0.0
4867.71504603,0.0
4867.73011218,0.0
4867.73764526,0.0
4868.66044689,0.09053672352448412
4869.00508505,0.0
4869.01450139,0.0
4869.02203447,0.0
4869.02956754,0.0
4869.03898388,0.0
4869.04840023,0.0
4869.05969984,0.0
4869.06911618,0.0
4869.07664926,0.0
4869.0860656,0.0
4869.09548194,0.0
4869.10489829,0.0
4869.11243136,0.0
4869.1218477,0.0
4870.37610461,0.0
4870.38740423,0.0
4870.3949373,0.0
4870.40058711,0.0
4870.41188672,0.0
4870.42695287,0.0
4870.43448594,0.0
4870.44955209,0.0
4870.4608517,0.0
4870.47026805,0.0
4870.47591785,0.0
4870.490984,0.0
4870.50040034,0.0
4871.74335764,0.0
4871.75277399,0.0
4871.76030706,0.0
4871.76595687,0.0
4871.77160667,0.0
4871.78290629,0.0
4871.7942059,0.0
4871.80550551,0.0
4871.81115531,0.0
4871.81868839,0.0
4871.82810473,0.0
4871.84128761,0.0
4872.3102215,0.10112243388990443
4873.08989472,0.0
4873.09931106,0.0
4873.11249394,0.0
4873.12002702,0.0
4873.12756009,0.0
4873.1332099,0.0
4873.15015931,0.0
4873.16710873,0.0
4873.17464181,0.0
4874.0936769,0.08826918988219953
4874.41759911,0.0
4874.42324891,0.0
4874.43078199,0.0
4874.43831506,0.0
4874.44396487,0.0
4874.45526448,0.0
4874.46844736,0.0
4874.47598043,0.0
4874.48163024,0.0
4874.48916331,0.0
4875.720821,0.0
4875.73023735,0.0
4875.73777042,0.0
4875.74907003,0.0
4875.76413618,0.0
4875.77166926,0.0
4875.7810856,0.0
4875.847,0.0
4877.00897675,0.0
4877.01839309,0.0
4877.02780944,0.0
4877.03910905,0.0
4877.04287558,0.0
4877.0541752,0.0
4877.57960715,0.0934867363129668
4878.28583288,0.0
4878.2971325,0.0
4878.30843211,0.0
4879.28396526,0.079889483163236
4879.53820653,0.0
4879.5457396,0.0
4880.76609768,0.0
4880.95819108,0.06297978763981789
4881.96950633,0.0037452809709801684
4883.15219904,0.13056954181629188
4884.31417579,0.09390848729508414
4885.45543658,0.08483862700585344
4894.11093923,0.07611444250951332
4895.52904051,0.0032577016959024047
4896.92077603,0.08166286684202012
4898.28426252,0.08260292411608286
4899.62138326,0.0033316124957875766
4900.93025496,0.09226405832902251
4902.21087763,0.08098720741138754
4903.46513454,0.0030684371092668796
4905.88701801,0.1137185963529522
4918.35802291,0.0
4925.23007016,0.07754669673533665
4927.55402366,0.10078939949098141
4929.12090316,0.0
4929.85161139,0.003667007604584289
4930.55407059,0.0
4932.11906683,0.0037435706915544395
4934.35638997,0.0
4934.36203978,0.0
4936.55416447,0.0
4936.56169754,0.0
4936.57299715,0.0
4938.72933974,0.0
4938.73687282,0.0
4938.74440589,0.0
4938.7557055,0.0
4938.76512185,0.0
4938.77265492,0.0
4939.20204017,0.1096905125195015
4939.8065694,0.09421522212839614
4940.86496637,0.0
4940.86873291,0.0
4940.87626599,0.0
4940.88568233,0.0
4940.89698194,0.0
