,,,-11.4799999E-3,19.9999996E-3,,,,,-11.4799999E-3,32.00000152E-3,
,,,-11.4700003E-3,39.99999911E-3,,,,,-11.4700003E-3,32.00000152E-3,
,,,-11.4599997E-3,0.0,,,,,-11.4599997E-3,32.00000152E-3,
,,,-11.4500001E-3,-19.9999996E-3,,,,,-11.4500001E-3,32.00000152E-3,
,,,-11.4400005E-3,0.0,,,,,-11.4400005E-3,32.00000152E-3,
,,,-11.4300000E-3,-39.99999911E-3,,,,,-11.4300000E-3,24.00000021E-3,
,,,-11.4200003E-3,-59.999998659E-3,,,,,-11.4200003E-3,32.00000152E-3,
,,,-11.4099998E-3,-79.999998212E-3,,,,,-11.4099998E-3,32.00000152E-3,
,,,-11.4000002E-3,-99.999994040E-3,,,,,-11.4000002E-3,32.00000152E-3,
,,,-11.3899997E-3,-99.999994040E-3,,,,,-11.3899997E-3,24.00000021E-3,
,,,-11.3800000E-3,-99.999994040E-3,,,,,-11.3800000E-3,24.00000021E-3,
,,,-11.3700004E-3,-119.9999973E-3,,,,,-11.3700004E-3,24.00000021E-3,
,,,-11.3599999E-3,-119.9999973E-3,,,,,-11.3599999E-3,24.00000021E-3,
,,,-11.3500003E-3,-140.0000006E-3,,,,,-11.3500003E-3,16.0000008E-3,
,,,-11.3399997E-3,-140.0000006E-3,,,,,-11.3399997E-3,24.00000021E-3,
,,,-11.3300001E-3,-179.99999225E-3,,,,,-11.3300001E-3,24.00000021E-3,
,,,-11.3200005E-3,-179.99999225E-3,,,,,-11.3200005E-3,24.00000021E-3,
,,,-11.3100000E-3,-179.99999225E-3,,,,,-11.3100000E-3,24.00000021E-3,
,,,-11.3000004E-3,-219.99999881E-3,,,,,-11.3000004E-3,24.00000021E-3,
,,,-11.2899998E-3,-219.99999881E-3,,,,,-11.2899998E-3,16.0000008E-3,
,,,-11.2800002E-3,-219.99999881E-3,,,,,-11.2800002E-3,16.0000008E-3,
,,,-11.2699997E-3,-259.99999046E-3,,,,,-11.2699997E-3,16.0000008E-3,
,,,-11.2600001E-3,-280.00000119E-3,,,,,-11.2600001E-3,16.0000008E-3,
,,,-11.2500004E-3,-259.99999046E-3,,,,,-11.2500004E-3,16.0000008E-3,
,,,-11.2399999E-3,-280.00000119E-3,,,,,-11.2399999E-3,16.0000008E-3,
,,,-11.2300003E-3,-280.00000119E-3,,,,,-11.2300003E-3,8.000000380E-3,
,,,-11.2199998E-3,-280.00000119E-3,,,,,-11.2199998E-3,16.0000008E-3,
,,,-11.2100001E-3,-299.99998212E-3,,,,,-11.2100001E-3,8.000000380E-3,
,,,-11.1999996E-3,-319.99999285E-3,,,,,-11.1999996E-3,8.000000380E-3,
,,,-11.1900000E-3,-340.00000358E-3,,,,,-11.1900000E-3,8.000000380E-3,
,,,-11.1800004E-3,-340.00000358E-3,,,,,-11.1800004E-3,8.000000380E-3,
,,,-11.1699998E-3,-340.00000358E-3,,,,,-11.1699998E-3,8.000000380E-3,
,,,-11.1600002E-3,-359.99998450E-3,,,,,-11.1600002E-3,0.0,
,,,-11.1499997E-3,-359.99998450E-3,,,,,-11.1499997E-3,8.000000380E-3,
,,,-11.1400001E-3,-379.99999523E-3,,,,,-11.1400001E-3,0.0,
,,,-11.1300005E-3,-379.99999523E-3,,,,,-11.1300005E-3,8.000000380E-3,
,,,-11.1199999E-3,-379.99999523E-3,,,,,-11.1199999E-3,0.0,
,,,-11.1100003E-3,-399.99997616E-3,,,,,-11.1100003E-3,8.000000380E-3,
,,,-11.0999998E-3,-419.999986887E-3,,,,,-11.0999998E-3,0.0,
,,,-11.0900002E-3,-439.999997616E-3,,,,,-11.0900002E-3,0.0,
,,,-11.0799996E-3,-419.999986887E-3,,,,,-11.0799996E-3,0.0,
,,,-11.0700000E-3,-439.999997616E-3,,,,,-11.0700000E-3,0.0,
,,,-11.0600004E-3,-459.999978542E-3,,,,,-11.0600004E-3,0.0,
,,,-11.0499999E-3,-439.999997616E-3,,,,,-11.0499999E-3,-8.000000380E-3,
,,,-11.0400002E-3,-459.999978542E-3,,,,,-11.0400002E-3,0.0,
,,,-11.0299997E-3,-439.999997616E-3,,,,,-11.0299997E-3,-8.000000380E-3,
,,,-11.0200001E-3,-459.999978542E-3,,,,,-11.0200001E-3,-8.000000380E-3,
,,,-11.0100005E-3,-459.999978542E-3,,,,,-11.0100005E-3,-16.0000008E-3,
,,,-10.9999999E-3,-479.999989271E-3,,,,,-10.9999999E-3,-8.000000380E-3,
,,,-10.9900003E-3,-500.000000000E-3,,,,,-10.9900003E-3,-16.0000008E-3,
,,,-10.9799998E-3,-479.999989271E-3,,,,,-10.9799998E-3,-16.0000008E-3,
,,,-10.9700002E-3,-479.999989271E-3,,,,,-10.9700002E-3,-16.0000008E-3,
,,,-10.9599996E-3,-500.000000000E-3,,,,,-10.9599996E-3,-16.0000008E-3,
,,,-10.9500000E-3,-500.000000000E-3,,,,,-10.9500000E-3,-8.000000380E-3,
,,,-10.9400004E-3,-519.999980927E-3,,,,,-10.9400004E-3,-16.0000008E-3,
,,,-10.9299999E-3,-500.000000000E-3,,,,,-10.9299999E-3,-16.0000008E-3,
,,,-10.9200003E-3,-519.999980927E-3,,,,,-10.9200003E-3,-16.0000008E-3,
,,,-10.9099997E-3,-500.000000000E-3,,,,,-10.9099997E-3,-24.00000021E-3,
,,,-10.9000001E-3,-519.999980927E-3,,,,,-10.9000001E-3,-16.0000008E-3,
,,,-10.8900005E-3,-519.999980927E-3,,,,,-10.8900005E-3,-16.0000008E-3,
,,,-10.8800000E-3,-519.999980927E-3,,,,,-10.8800000E-3,-24.00000021E-3,
,,,-10.8700003E-3,-519.999980927E-3,,,,,-10.8700003E-3,-24.00000021E-3,
,,,-10.8599998E-3,-500.000000000E-3,,,,,-10.8599998E-3,-24.00000021E-3,
,,,-10.8500002E-3,-500.000000000E-3,,,,,-10.8500002E-3,-24.00000021E-3,
,,,-10.8399997E-3,-539.999961853E-3,,,,,-10.8399997E-3,-24.00000021E-3,
,,,-10.8300000E-3,-539.999961853E-3,,,,,-10.8300000E-3,-32.00000152E-3,
,,,-10.8200004E-3,-500.000000000E-3,,,,,-10.8200004E-3,-24.00000021E-3,
